radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
306.042404,0.595,19.90443,0.371,4,12.165,0.026,12.204,0.079,12.362,0.406,12.225,0.019,12.55,0.099
306.044573,0.579,19.911633,0.475,4,13.087,0.042,14.22,0.116,13.898,0.381,12.69,0.081,12.39,0.09
306.045993,0.442,19.784086,0.279,2,13.944,0.045,14.519,0.031,14.979,0,13.696,0,13.842,0
306.047028,0.652,19.810323,0.578,2,15.447,0.117,15.951,0.115,NA,NA,NA,NA,NA,NA
306.047584,1.073,19.839892,0.61,3,14.308,0.043,15.24,0.006,15.08,0.455,13.98,0.103,13.993,0
306.04913,0.7,19.853978,0.986,3,14.561,0.163,15.042,0.151,15.487,0,14.292,0,NA,NA
306.057464,0.334,19.821214,0.158,4,11.074,0.021,11.469,0.077,11.469,0.408,10.96,0.066,10.994,0.101
306.058333,0.894,19.874781,1.115,2,15.316,0,15.776,0,16.354,-0.094,14.77,0,NA,NA
306.058738,1.008,19.836887,0.634,2,15.255,0,16.361,0,16.619,-0.126,14.775,0,NA,NA
306.059168,0.425,19.782702,1.273,2,15.574,0.158,16.085,0.146,15.781,0,NA,NA,NA,NA
306.060312,0.401,19.912024,0.709,3,14.628,0.029,15.308,0.059,15.355,0.461,14.353,0.01,NA,NA
306.062479,0.36,19.974557,0.292,4,12.903,0.038,13.342,0.091,13.358,0.4,12.738,0.016,12.786,0.133
306.065373,0.673,19.869919,0.526,2,14.403,0.057,15.054,0.048,15.419,0,14.12,0,NA,NA
306.070595,1.09,19.832549,0.616,3,14.308,0.081,15.441,0.052,15.249,0.493,13.852,0.078,13.645,0.276
306.078174,0.697,19.880666,0.886,3,13.994,0.066,15.249,0.021,14.93,0.629,13.504,0.103,13.19,0.026
306.080341,0.73,19.915607,0.519,4,13.488,0.052,14.371,0.171,14.142,0.394,13.224,0.08,13.069,0.096
